Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
T. SHORTS,PG,PAO,16.1,8.1,3.1,7.1,0.5,1.7,1.4,1.9,0.1,1.2,1.3,2.9,1.0,0.6,0.0,1.5
P. KALAITZAKIS,SG/SF,PAO,5.1,1.0,0.3,1.3,0.3,1.3,0.1,0.2,0.1,0.5,0.6,0.3,0.1,0.3,0.0,0.7
C. OSMAN,SF,PAO,27.3,12.9,4.6,9.4,1.4,3.7,2.3,2.8,0.5,3.0,3.5,1.2,0.8,0.7,0.1,2.5
R. HOLMES,C,PAO,18.73,7.9,3.2,4.9,0.0,0.0,1.6,2.3,2.1,2.2,4.3,0.4,0.8,0.3,0.5,2.8
K. SLOUKAS,PG,PAO,21.32,9.6,3.3,7.3,0.9,2.4,2.2,2.4,0.4,1.6,1.9,5.1,1.3,0.7,0.1,1.9
N. HAYES-DAVIS,SF/PF,PAO,28.55,14.1,5.6,12.1,1.1,3.3,1.8,2.1,1.4,2.0,3.4,1.9,0.9,1.1,0.2,2.1
N. ROGKAVOPOULOS,SF,PAO,12.32,5.6,2.1,4.6,0.9,2.7,0.6,0.7,0.6,1.4,2.0,0.5,0.3,0.2,0.1,1.4
A. SAMODUROV,PF,PAO,6.17,2.6,0.9,2.0,0.5,1.6,0.2,0.3,0.2,0.5,0.7,0.3,0.2,0.1,0.5,0.5
J. GRANT,PG/SG,PAO,23.65,6.9,2.3,5.4,0.9,2.6,1.3,1.6,0.5,1.2,1.7,3.5,1.0,1.1,0.0,2.4
I. KOUZELOGLOU,PF,PAO,5.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.3,1.0,0.3,0.0,0.7
K. NUNN,PG/SG,PAO,29.72,18.3,7.0,13.4,1.5,3.9,2.7,3.1,0.6,2.1,2.7,3.5,2.9,1.0,0.1,2.7
M. LESSORT,C,PAO,22.65,8.3,2.9,5.0,0.0,0.0,2.5,3.7,2.5,3.1,5.6,1.2,1.6,0.7,0.3,2.6
V. TOLIOPOULOS,PG/SG,PAO,9.55,5.2,1.7,5.0,0.8,2.4,1.0,1.0,0.2,0.4,0.6,1.1,0.2,0.2,0.0,1.2
K. FARIED,C,PAO,13.13,5.8,2.4,3.9,0.0,0.0,1.0,1.5,1.9,2.1,3.9,0.3,0.9,0.3,0.6,1.9
