Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
CODI MILLER-MCINTYRE,PG,CREVA,30.93,12.6,5.1,10.8,0.9,2.7,1.5,2.4,0.8,3.6,4.5,7.4,2.8,1.0,0.1,2.5
UROS PLAVSIC,C,CREVA,5.07,1.0,0.4,1.3,0.0,0.0,0.3,0.6,0.7,0.9,1.6,0.4,0.6,0.1,0.0,1.4
STEFAN MILJENOVIC,PG,CREVA,6.88,2.2,0.5,1.6,0.5,1.6,0.7,0.9,0.1,0.7,0.8,0.7,0.3,0.2,0.1,1.3
DEVONTE GRAHAM,PG,CREVA,11.37,3.0,1.3,6.9,0.3,1.3,0.1,0.6,0.3,1.0,1.3,1.1,0.9,0.3,0.1,0.9
JARED BUTLER,PG/SG,CREVA,20.0,13.4,5.2,11.1,1.2,3.4,1.8,2.2,0.6,1.6,2.2,3.7,1.9,0.7,0.1,2.6
DEJAN DAVIDOVAC,SF/PF,CREVA,14.23,2.6,0.8,1.8,0.8,1.8,0.3,0.5,0.8,1.3,2.1,0.4,0.2,0.4,0.1,1.7
TYSON CARTER,SG,CREVA,14.68,4.9,1.6,4.9,1.0,3.2,0.7,0.7,0.5,0.9,1.4,1.5,1.2,0.4,0.0,1.9
NIKOLA KALINIC,SF/PF,CREVA,23.15,5.8,1.9,4.3,1.1,2.8,0.9,1.4,1.1,2.4,3.5,1.8,1.5,0.5,0.3,2.7
OGNJEN DOBRIC,SG/SF,CREVA,12.5,5.0,1.4,3.2,1.4,3.2,0.7,0.7,0.8,1.0,1.8,0.3,0.2,0.4,0.0,1.3
JASIEL RIVERO,PF/C,CREVA,9.82,4.8,2.0,3.4,0.0,0.0,0.7,1.1,0.7,1.0,1.7,0.1,0.3,0.1,0.0,1.2
EBUKA IZUNDU,C,CREVA,14.38,8.0,3.3,4.6,0.0,0.0,1.4,1.9,2.4,1.8,4.2,0.4,0.6,0.4,0.5,2.6
DONATAS MOTIEJUNAS,PF/C,CREVA,12.55,6.1,2.1,3.7,0.3,0.9,1.6,2.7,0.8,1.0,1.8,0.8,0.7,0.3,0.0,1.1
JOEL BOLOMBOY,C,CREVA,14.45,5.5,2.2,3.7,0.1,0.2,1.0,1.4,2.0,2.5,4.5,0.3,1.1,0.4,0.5,1.5
JORDAN NWORA,SF/PF,CREVA,27.12,16.9,6.5,13.2,1.3,3.7,2.6,3.2,0.7,3.7,4.4,1.6,2.2,1.1,0.3,1.9
SEMI OJELEYE,SF/PF,CREVA,22.92,7.2,2.6,5.7,0.9,2.6,1.1,1.5,1.7,1.8,3.6,0.8,0.7,0.5,0.4,1.9
OGNJEN RADOSIC,PG,CREVA,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIMA MONEKE,PF,CREVA,26.9,13.9,4.9,8.9,0.9,2.6,3.3,4.3,1.7,4.8,6.5,2.0,1.8,1.0,0.4,2.6
YAGO DOS SANTOS,PG,CREVA,10.75,2.6,0.8,3.3,0.3,1.3,0.7,0.7,0.2,0.6,0.8,2.2,1.2,0.2,0.0,1.4
