Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
NEMANJA DANGUBIC,SF,DUBAI,7.67,1.1,0.3,1.6,0.3,1.6,0.1,0.3,0.8,0.9,1.6,0.4,0.1,0.0,0.0,1.8
DWAYNE BACON,SG/SF,DUBAI,29.37,16.2,5.9,14.1,1.4,4.5,2.9,3.7,0.6,3.5,4.1,2.4,2.2,0.8,0.2,2.5
ALEKSA AVRAMOVIC,PG/SG,DUBAI,17.02,9.3,3.4,7.4,1.0,2.9,1.5,1.9,0.6,1.4,2.0,3.0,1.3,1.3,0.1,1.7
AWUDU ABASS,SF,DUBAI,16.37,3.2,1.1,2.9,0.8,2.4,0.3,0.4,0.7,0.8,1.5,0.5,0.3,0.3,0.1,1.6
KLEMEN PREPELIC,SG,DUBAI,13.43,3.6,0.9,2.8,0.9,2.8,0.9,1.1,0.1,1.0,1.1,1.8,0.7,0.4,0.0,2.5
DAVIS BERTANS,PF,DUBAI,18.63,8.0,3.2,7.4,0.7,2.1,0.9,1.1,0.5,1.9,2.4,1.1,0.5,0.1,0.4,2.2
BOOGIE ELLIS,PG/SG,DUBAI,17.77,10.4,3.5,8.0,1.2,3.0,2.2,2.7,0.8,1.2,2.0,1.2,0.6,0.6,0.0,2.8
JUSTIN ANDERSON,SF,DUBAI,23.47,6.1,2.1,4.6,1.3,3.2,0.6,0.7,0.8,2.2,3.0,1.3,0.6,0.4,0.5,2.6
KOSTA KONDIC,PG,DUBAI,11.75,4.4,1.5,3.3,0.6,1.9,0.8,1.0,0.3,0.9,1.2,1.1,0.4,0.8,0.0,2.1
DZANAN MUSA,SG/SF,DUBAI,26.68,14.3,5.1,10.7,1.5,4.2,2.6,3.0,1.3,2.4,3.7,3.2,1.6,0.6,0.2,2.0
SERTAC SANLI,C,DUBAI,7.83,2.4,0.8,1.2,0.1,0.2,0.7,0.7,0.3,0.7,1.0,0.0,0.4,0.0,0.0,1.9
MFIONDU KABENGELE,C,DUBAI,22.23,14.2,5.7,9.3,0.1,0.2,2.7,3.3,2.0,4.1,6.1,1.2,1.0,0.7,0.7,2.6
TARAN ARMSTRONG,PG,DUBAI,5.7,0.6,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.6,0.7,0.3,0.6,0.1,0.0,1.4
MCKINLEY WRIGHT IV,PG,DUBAI,29.55,12.7,4.7,9.3,1.0,2.7,2.3,2.7,0.4,2.3,2.7,6.1,2.0,1.0,0.2,2.8
FILIP PETRUSEV,PF/C,DUBAI,23.48,11.6,4.1,7.5,0.4,1.1,3.0,3.7,1.2,3.6,4.8,1.5,1.1,0.6,0.4,1.9
MATT RYAN,SG/SF,DUBAI,6.38,4.0,1.5,3.4,0.9,2.8,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0
DANILO ANDJUSIC,SG,DUBAI,4.0,2.0,0.2,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KENAN KAMENJAS,C,DUBAI,10.85,4.1,1.6,2.9,0.0,0.0,0.9,1.3,1.2,2.1,3.4,0.5,0.6,0.3,0.0,1.3
BRUNO CABOCLO,PF/C,DUBAI,12.72,6.3,2.3,3.1,0.8,1.0,0.8,1.2,1.1,2.0,3.1,0.5,0.5,0.0,0.7,2.9
