Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
ARMANDO BACOT JR.,C,FENER,10.12,2.4,0.9,2.1,0.1,0.2,0.6,0.7,0.8,1.0,1.8,0.6,1.0,0.3,0.3,2.0
METECAN BIRSEN,SF/PF,FENER,11.23,2.4,0.6,1.8,0.6,1.8,0.5,0.6,0.6,1.5,2.2,0.3,0.5,0.3,0.1,1.6
WADE BALDWIN IV,PG/SG,FENER,25.72,14.1,5.3,11.6,1.0,3.5,2.5,3.2,0.7,2.5,3.1,5.5,2.4,0.7,0.4,1.6
SCOTTIE WILBEKIN,PG/SG,FENER,14.82,7.7,2.8,5.7,1.4,3.1,0.8,1.6,0.3,0.3,0.7,1.3,1.0,0.8,0.0,2.2
NICOLO MELLI,PF/C,FENER,23.48,7.2,2.8,5.4,0.5,1.1,1.2,2.2,1.5,4.2,5.7,1.6,1.3,0.8,0.5,2.8
TALEN HORTON TUCKER,SG/SF,FENER,23.67,15.7,6.1,12.5,0.9,3.3,2.6,3.5,1.1,2.6,3.7,2.2,2.2,0.7,0.5,2.4
MELIH MAHMUTOGLU,SG,FENER,5.97,2.1,0.6,2.1,0.6,2.1,0.2,0.2,0.1,0.3,0.4,0.1,0.3,0.0,0.0,0.4
BRANDON BOSTON JR.,SG/SF,FENER,11.82,4.8,1.7,4.2,0.9,2.9,0.5,0.7,0.7,0.9,1.6,0.3,0.4,0.5,0.2,1.3
NANDO DE COLO,PG/SG,FENER,17.33,10.1,3.3,6.1,1.6,3.4,1.9,2.0,0.2,1.2,1.4,2.4,1.6,0.2,0.0,1.8
TARIK BIBEROVIC,SF,FENER,24.2,11.2,4.3,9.1,1.7,4.0,0.9,0.9,0.6,2.4,2.9,1.3,1.4,0.4,0.1,2.1
ONURALP BITIM,SG/SF,FENER,10.97,2.8,0.8,2.3,0.8,2.3,0.3,0.5,0.2,1.2,1.4,0.3,0.4,0.4,0.2,1.6
MIKAEL JANTUNEN,PF,FENER,18.73,5.4,1.6,3.8,0.6,1.8,1.6,1.9,1.1,2.1,3.3,0.7,0.7,0.4,0.2,3.2
DEVON HALL,SG/SF,FENER,25.3,8.6,3.0,6.6,0.8,2.6,1.9,2.3,1.1,1.8,2.9,2.7,1.9,0.5,0.1,2.4
CHRIS SILVA,PF/C,FENER,8.73,4.5,1.6,2.5,0.0,0.0,1.3,1.5,0.8,0.9,1.7,0.4,0.9,0.3,0.1,1.9
ARTURS ZAGARS,PG,FENER,11.27,3.4,0.8,2.5,0.3,1.4,1.4,1.7,0.0,0.2,0.2,1.6,1.0,0.6,0.0,0.8
BONZIE COLSON,SF/PF,FENER,17.15,7.3,2.4,4.8,1.5,3.0,1.1,1.2,0.8,2.2,3.0,0.8,0.5,0.6,0.4,1.2
KHEM BIRCH,C,FENER,16.73,3.9,1.5,2.3,0.0,0.0,1.0,1.4,1.5,2.5,4.0,0.5,1.0,0.3,0.4,3.1
