Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
THOMAS WALKUP,PG,OSFP,23.97,5.3,1.8,4.3,0.7,2.0,1.1,1.4,0.7,1.9,2.6,5.9,1.5,0.9,0.0,2.3
FRANK NTILIKINA,PG/SG,OSFP,16.4,4.5,1.3,3.5,0.9,2.3,1.0,1.2,0.5,0.6,1.1,1.6,1.2,0.5,0.4,2.9
KEENAN EVANS,PG,OSFP,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TYSON WARD,SG/SF,OSFP,19.38,7.0,2.5,5.9,0.6,2.4,1.3,1.9,0.7,2.3,2.9,2.4,1.0,0.6,0.2,2.4
GIANNOULIS LARENTZAKIS,SG,OSFP,2.98,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.3,0.0,0.0,0.6
SABEN LEE,PG,OSFP,11.4,3.4,1.1,2.9,0.7,1.8,0.5,0.6,0.0,0.4,0.4,1.4,1.3,0.4,0.1,1.2
MOUSTAPHA FALL,C,OSFP,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,2.5,0.0,0.0,1.0,0.0
MONTE MORRIS,PG,OSFP,11.53,1.6,0.6,2.0,0.0,0.0,0.4,0.7,0.2,1.0,1.2,1.4,0.5,0.1,0.1,1.0
SASHA VEZENKOV,PF,OSFP,27.92,19.2,7.4,13.0,1.2,2.9,3.2,3.5,1.5,5.0,6.5,1.3,1.1,0.6,0.1,0.8
KOSTAS PAPANIKOLAOU,SF,OSFP,14.43,3.1,1.1,2.9,0.8,2.4,0.1,0.4,0.3,1.5,1.8,1.7,1.0,0.4,0.1,1.6
OMIROS NETZIPOGLOU,SG,OSFP,3.63,0.5,0.2,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
TYLER DORSEY,SG,OSFP,25.63,16.2,5.8,12.3,2.0,5.0,2.6,3.3,0.5,1.8,2.3,2.7,1.9,0.8,0.1,1.9
ALEC PETERS,PF,OSFP,14.98,7.1,2.4,4.5,0.8,2.0,1.5,1.8,0.6,2.2,2.8,1.0,0.8,0.5,0.0,1.8
NIKOLA MILUTINOV,C,OSFP,21.53,10.3,3.7,5.4,0.0,0.0,2.9,3.7,3.1,3.9,7.0,1.4,0.7,0.6,0.6,0.6
CORY JOSEPH,PG,OSFP,15.63,5.9,1.8,4.0,0.7,2.1,1.5,1.9,0.5,1.4,1.9,2.3,1.3,0.4,0.1,1.9
KOSTAS ANTETOKOUNMPO,PF/C,OSFP,5.67,1.5,0.8,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.5,1.0,0.2,0.0,0.0,1.2
DONTA HALL,C,OSFP,15.62,7.1,2.8,3.7,0.0,0.0,1.4,1.8,1.8,2.9,4.7,0.7,0.5,0.4,0.9,1.8
SHAQUIELLE MCKISSIC,SG/SF,OSFP,11.9,4.4,1.6,3.8,0.5,2.1,0.7,1.1,0.3,0.9,1.2,1.5,0.4,0.8,0.0,1.1
TYRIQUE JONES,C,OSFP,15.68,7.1,2.7,3.9,0.0,0.0,1.7,2.5,1.9,2.2,4.1,1.3,1.1,1.1,0.5,2.6
EVAN FOURNIER,SG/SF,OSFP,21.72,11.5,4.4,10.2,1.4,3.8,1.3,1.6,0.4,1.5,1.9,2.9,1.7,0.8,0.1,2.1
