Name,Position,Team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
TREY LYLES,PF,REAL,20.87,13.1,4.6,9.0,1.3,2.9,2.6,3.3,1.0,3.3,4.4,1.6,1.4,0.5,0.5,1.7
DAVID KRAMER,SG,REAL,11.33,2.5,0.8,2.4,0.8,2.4,0.2,0.4,0.4,0.9,1.2,0.9,0.4,0.2,0.0,2.0
ALBERTO ABALDE,SG/SF,REAL,15.52,4.4,1.3,2.8,1.3,2.8,0.4,0.5,0.5,1.0,1.5,1.2,0.7,0.4,0.0,1.8
FACUNDO CAMPAZZO,PG,REAL,24.43,12.3,4.1,9.1,1.3,3.1,2.7,3.2,0.3,1.7,2.0,5.0,2.0,1.1,0.0,2.1
CHUMA OKEKE,PF,REAL,17.75,5.8,2.3,4.3,0.7,1.9,0.5,0.7,1.5,2.4,3.9,0.8,0.3,0.6,0.5,0.9
GABRIELE PROCIDA,SG/SF,REAL,5.65,1.9,0.6,1.5,0.6,1.5,0.1,0.1,0.3,0.3,0.6,0.1,0.1,0.0,0.0,0.6
MARIO HEZONJA,SF/PF,REAL,22.17,12.9,5.1,11.2,1.0,3.2,1.8,2.2,0.5,3.4,4.0,2.3,1.8,0.8,0.0,1.7
THEO MALEDON,PG/SG,REAL,17.07,9.3,3.0,6.8,0.9,2.9,2.4,2.8,0.4,1.8,2.2,3.0,1.3,0.6,0.1,2.0
IZAN ALMANSA,PF/C,REAL,4.65,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5
GABRIEL DECK,SF/PF,REAL,20.23,6.9,2.4,4.7,0.9,2.5,1.1,1.3,0.9,2.6,3.5,1.2,0.8,0.4,0.0,1.6
USMAN GARUBA,PF/C,REAL,12.23,5.3,2.0,3.2,0.6,1.0,0.7,1.1,1.2,1.5,2.7,0.5,0.7,0.8,0.7,1.9
BRUNO FERNANDO,C,REAL,10.42,4.4,1.8,2.7,0.0,0.0,0.8,1.2,1.0,2.4,3.4,0.8,1.2,0.2,0.2,2.6
WALTER TAVARES,C,REAL,22.75,9.6,3.7,5.3,0.0,0.0,2.3,3.1,2.5,4.1,6.6,0.6,1.6,0.6,1.8,2.5
SERGIO LLULL,PG/SG,REAL,10.92,3.2,1.2,3.7,0.4,1.6,0.4,0.6,0.2,0.6,0.8,1.5,0.6,0.2,0.0,1.0
ANDRES FELIZ,PG,REAL,16.3,6.5,2.4,5.1,1.0,2.4,0.7,1.0,0.8,1.5,2.4,2.0,0.9,0.6,0.0,1.9
ALEX LEN,C,REAL,9.17,3.0,1.1,2.1,0.0,0.0,0.8,1.0,1.0,1.0,2.0,0.3,0.6,0.1,0.9,1.4
GUNARS GRINVALDS,PG,REAL,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
